expert_opinion,white,green,brown,purple,black,blue,pink,violet,warm_white,red,orange,lime,navy,magenta,gray,mint,coral,beige
0,sp_zoo,1000,2.355746350004749e+16,-9801257659520068.0,0.0004563814391641687,0.014385461111632835,6.931649868103998e-06,247778705134736.0,18648633600.0,-866725386754888.0,16.0,0.0,0.513611111588889,0.0,0.0,-39084232000000.0,-46833629484397.0,C
0,sp_komandytowa,853,10222683464873.0,-212244045891806.0,0.09399513089226601,0.010587717905909769,0.0009990513807319758,188088632810000.0,85480801641.0,0.0,1.0,0.0,0.005625,0.0,0.0,-391238320000.0,-81797314200.0,C
1,dzialalnosc_gospodarcza,333,29033066575780.0,61845227368280.0,4594.389366298979,0.0011029222991550758,5.06733771918134,4572419040000.0,0.0,-772976984800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,E
1,dzialalnosc_gospodarcza,1549,1231991117209385.0,-1420817562724176.0,0.0009899083607227248,0.014826271029606977,1.5233264183260998e-05,-57598932845791.0,1860714496.0,-206338272794272.0,9.0,0.0,6.9444438888889e-05,0.0,1839126553604000.0,-467490908234272.0,-1893755563425.0,E
0,dzialalnosc_gospodarcza,388,638678634993488.0,-1344810439180312.0,0.014240167346735126,0.009784619775714149,0.000140720285800264,-9862662415600.0,10000.0,-47898722147936.0,16.0,0.0,0.0,0.0,,8820634099200.0,0.0,C
0,dzialalnosc_gospodarcza,580,9192709611728.0,48153908545006.0,,0.0,0.006975604267823788,18323430201.0,15376000000.0,-11187120780000.0,1.0,0.0,0.002267573732426304,0.0,0.0,0.0,0.0,C
1,sp_zoo,445,,,,,,,,,,,,,,,,E
1,dzialalnosc_gospodarcza,685,1.6125312080973232e+16,-216078820394934.0,0.00198653581189442,5.041227202560001e-05,1.0170453373599999e-07,119307046011275.0,0.0,0.0,0.0,0.0,0.0011298636847680249,4.0,,-729457400200.0,0.0,E
0,dzialalnosc_gospodarcza,765,,,,,,,,,,,,,,,,C
0,sp_zoo,1693,253388455449424.0,-985197184475608.0,0.0029957999054395492,0.020899370280161027,6.398134885645602e-05,-131789964880576.0,21535075548100.0,-298912114181224.0,9.0,0.0,0.0,0.0,0.0,1956311600000.0,-266432055601.0,C
1,dzialalnosc_gospodarcza,1480,2.129229858744541e+16,-1997896961730554.0,0.001758740178822149,0.000619263822240144,1.116975580061e-06,-11853792493594.0,1012126883309604.6,-8456861567098060.0,16.0,0.0,0.0,0.0,-1168886246419788.0,-608861172844.0,0.0,E
0,dzialalnosc_gospodarcza,340,48844491556708.89,74482973986526.0,0.10248437239013986,5.16318413809e-07,5.226191410099999e-08,28810360619556.0,119094010000.0,-173920351811616.0,144.0,0.0,0.0,1.0,0.0,-29711507637160.0,0.0,C
0,sp_cywilna,2088,494483725197124.0,-612720453865610.0,0.14660340794065396,0.0018605376426024999,0.00027357180197693594,0.0,0.0,-14558418969952.0,1.0,0.0,0.05840277793888889,0.0,-136489237941000.0,-122300211712000.0,0.0,C
0,dzialalnosc_gospodarcza,808,3833349835995728.0,89707426285760.0,92525.61330755513,1.0368400000000003e-09,9.5959386021896e-05,-288818105536.0,1440000000000.0,-217594440522816.0,36.0,0.0,0.0,256.0,167986586400000.0,-11714119474000.0,0.0,C
0,dzialalnosc_gospodarcza,2533,210853720701833.0,57262767342990.0,0.0014263903299278479,0.008200825621728101,1.2063878906381e-05,-92615154613084.0,0.0,-428220894192960.0,49.0,0.0,0.0,0.0,0.0,-226451739086464.0,-28858363861000.0,C
0,dzialalnosc_gospodarcza,580,1.2507211940845632e+16,-365668638452470.0,0.004206092971884973,0.000317503468165129,1.356312961349e-06,84139437795609.0,2608225.0,-13399957478880.0,1.0,1.0,0.0,36.0,0.0,0.0,0.0,C
0,sp_zoo,493,852155163908.0,21411388195200.0,,0.0,3.057388634344e-06,217705440000.0,416025.0,-813659784000.0,1.0,0.0,0.0,0.0,1387988220000.0,0.0,-8860143177600.0,C
1,sp_zoo,1053,,,,,,,,,,,,,,,,E
1,dzialalnosc_gospodarcza,360,4460291500624.0,-521096517047068.0,0.006851508143065108,0.139287006605945,0.000968329989732901,25672963662801.0,0.0,-15556196007888.0,1.0,0.0,0.088134765625,0.0,-5147688886200.0,0.0,506560626000.0,E
0,dzialalnosc_gospodarcza,468,7465300289924.0,6478236464720.0,1865.0927862881338,8.872716864010001e-07,0.0016547375996100557,-33783029323164.0,0.0,-46173515823352.0,16.0,0.0,0.03673611123888885,0.0,0.0,0.0,0.0,C
1,sp_zoo,1620,,,,,,,,,,,,,,,,E
0,dzialalnosc_gospodarcza,493,2.2080336040835596e+16,-1514515578271868.0,0.000119596690115348,0.00031328918580052895,4.090168318899999e-08,14873721634704.0,9806749454329.0,-4770618743135232.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,C
